Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_weapons_items_zenit_pt_1_dsc,"PT-1 stock for AK systems. For use, a special lock (for folding or fixed stocks) is required, which is installed using a multitool","PT-1 stock for AK systems. For use, a special lock (for folding or fixed stocks) is required, which is installed using a multitool","Akcie PT-1 pro systémy AK. Pro použití je vyžadován speciální zámek (pro skládání nebo pevné zásoby), který je nainstalován pomocí multitoolu","PT-1-Bestand für AK-Systeme. Zur Verwendung ist eine spezielle Sperre (zum Falten oder festen Bestände) erforderlich, das mit einem Multitool installiert wird","Приклад ПТ-1 для АК-систем. Для использования необходим специальный замок (для складных или фиксированных прикладов), который устанавливается с помощью мультитула","Zapas PT-1 dla systemów AK. Do użycia wymagana jest specjalna blokada (do składania lub stałych zapasów), która jest instalowana za pomocą multitoolla","PT-1 készlet AK rendszerekhez. Használathoz speciális zár (hajtogatáshoz vagy rögzített készletekhez) szükséges, amelyet egy multitool segítségével telepítenek","Stock PT-1 per sistemi AK. Per l'uso, è richiesto un blocco speciale (per stock pieghevoli o fissi), che è installato utilizzando un multitool","Stock PT-1 para sistemas AK. Para su uso, se requiere un bloqueo especial (para plegamiento o existencias fijas), que se instala utilizando un múltiple","PT-1 Stock pour les systèmes AK. Pour une utilisation, une serrure spéciale (pour le pliage ou les stocks fixes) est requis, qui est installé à l'aide d'un multitool",AK系统的PT-1库存。为了使用，需要一个特殊的锁（用于折叠或固定库存），该锁使用多功能,AKシステムのPT-1ストック。使用するには、マルチツールを使用してインストールされている特別なロック（折りたたみまたは固定在庫用）が必要です,"Estoque de PT-1 para sistemas AK. Para uso, é necessário um bloqueio especial (para dobrar ou estoques fixos), que é instalado usando um multitool multitool",AK系统的PT-1库存。为了使用，需要一个特殊的锁（用于折叠或固定库存），该锁使用多功能,
STR_kr_weapons_items_zenit_pt_3_dsc,"PT-3 stock for AK systems. For use, a special lock (for folding or fixed stocks) is required, which is installed using a multitool","PT-3 stock for AK systems. For use, a special lock (for folding or fixed stocks) is required, which is installed using a multitool","Akcie PT-3 pro systémy AK. Pro použití je vyžadován speciální zámek (pro skládání nebo pevné zásoby), který je nainstalován pomocí multitoolu","PT-3-Bestand für AK-Systeme. Zur Verwendung ist eine spezielle Sperre (zum Falten oder festen Bestände) erforderlich, das mit einem Multitool installiert wird","Приклад ПТ-3 для АК-систем. Для использования необходим специальный замок (для складных или фиксированных прикладов), который закрепляется на прикладе с помощью мультитула","Zapas PT-3 dla systemów AK. Do użycia wymagana jest specjalna blokada (do składania lub stałych zapasów), która jest instalowana za pomocą multitoolla","PT-3 készlet AK rendszerekhez. Használathoz speciális zár (hajtogatáshoz vagy rögzített készletekhez) szükséges, amelyet egy multitool segítségével telepítenek","Stock PT-3 per sistemi AK. Per l'uso, è richiesto un blocco speciale (per stock pieghevoli o fissi), che è installato utilizzando un multitool","Stock PT-3 para sistemas AK. Para su uso, se requiere un bloqueo especial (para plegamiento o existencias fijas), que se instala utilizando un múltiple","PT-3 Stock pour les systèmes AK. Pour une utilisation, une serrure spéciale (pour le pliage ou les stocks fixes) est requis, qui est installé à l'aide d'un multitool",AK系统的PT-3库存。为了使用，需要一个特殊的锁（用于折叠或固定库存），该锁使用多功能,AKシステムのPT-3ストック。使用するには、マルチツールを使用してインストールされている特別なロック（折りたたみまたは固定在庫用）が必要です,"Estoque de PT-3 para sistemas AK. Para uso, é necessário um bloqueio especial (para dobrar ou estoques fixos), que é instalado usando um multitool multitool",AK系统的PT-3库存。为了使用，需要一个特殊的锁（用于折叠或固定库存），该锁使用多功能,
STR_kr_weapons_items_ferfrans_crd,Ferfrans CRD,Ferfrans CRD,Ferfrans Crd,Ferfrans CRD,Ferfrans CRD,Ferfrans Crd,Ferfrans CRD,FERFRANS CRD,Ferfrans CRD,Ferfrans CRD,Ferfrans CRD,ferfrans crd,Ferfrans Crd,Ferfrans CRD,
STR_kr_weapons_items_ferfrans_crd_dsc,Concussion Reduction Device manufactured by Ferfrans. Not used standalone. Attached to muzzle Ferfrans CQB,Concussion Reduction Device manufactured by Ferfrans. Not used standalone. Attached to muzzle Ferfrans CQB,Zařízení pro redukci otřesů vyrobené společností Ferfrans. Nepoužívá se samostatné. Připojeno k tlamu Ferfrans CQB,"Geräte zur Reduzierung von Gehirnerschütterungen, die von Ferfranern hergestellt werden. Nicht eigenständig verwendet. An der Mündung Ferfrans CQB angebracht",Дульное устройство Concussion Reduction Device производства Ferfrans. Используется вместе с ДТК Ferfrance CQB ,Urządzenie do redukcji wstrząsu wytwarzanego przez Ferfrans. Nie używane samodzielne. Przymocowane do pyska Ferfrans CQB,A Ferfrans által gyártott agyrázkódási redukciós eszköz. Nem használt önálló. Az orrferfrans cqb -hez csatolva,Dispositivo di riduzione della commozione cerebrale prodotta da Ferfrans. Non usato autonomo. Attaccato al muso ferfrans cqb,Dispositivo de reducción de conmoción cerebral fabricado por Ferfrans. No se usa independiente. Unido al hocico Ferfrans CQB,Dispositif de réduction des commotions cérébrales fabriqué par Ferfrans. Non utilisé autonome. Attaché à la bouche Ferfrans CQB,Ferfrans生产的脑震荡减少装置。不使用独立。附着在枪口Ferfrans CQB上,Ferfransが製造した脳震盪削減装置。スタンドアロンは使用されていません。 Muzzle Ferfrans CQBに取り付けられています,Dispositivo de redução de concussão fabricado pela Ferfrans. Não usado independente. Anexado ao focinho Ferfrans CQB,Ferfrans生产的脑震荡减少装置。不使用独立。附着在枪口Ferfrans CQB上,
STR_kr_weapons_items_paracord,Paracord,Paracord,Paracord,Paracord,Паракорд,Paracord,Paracord,Paracord,Paracord,Paracord,帕拉科德,パラコード,Paracord,帕拉科德,
STR_kr_weapons_items_paracord_dsc,"A lightweight polymer cord made of nylon, originally used in parachute lines. Paracord can be used for many other purposes by both military and civilians","A lightweight polymer cord made of nylon, originally used in parachute lines. Paracord can be used for many other purposes by both military and civilians","Lehký polymerní šňůra vyrobená z nylonu, původně používaná v padákových liniích. Paracord lze použít pro mnoho jiných účelů vojenskými i civilisty","Ein leichtes Polymerschnur aus Nylon, das ursprünglich in Fallschirmlinien verwendet wurde. Paracord kann für viele andere Zwecke sowohl von Militär als auch von Zivilisten verwendet werden","Лёгкий полимерный шнур, изготовленный из нейлона, изначально использовавшийся в стропах парашютов. Паракорд может использоваться для многих иных целей, как военными, так и гражданским населением","Lekki przewód polimerowy wykonany z nylonu, pierwotnie używany w liniach spadochronowych. Paracord może być używany do wielu innych celów zarówno wojskowych, jak i cywilnych","A nylonból készült könnyű polimer zsinór, amelyet eredetileg ejtőernyős vonalakban használnak. A paracord sok más célra felhasználható mind a katonai, mind a civilek számára","Un cordone polimerico leggero fatto di nylon, originariamente usato in linee di paracadute. Paracord può essere usato per molti altri scopi sia dai militari che dai civili","Un cable de polímero liviano hecho de nylon, originalmente utilizado en líneas de paracaídas. Paracord puede ser utilizado para muchos otros fines por militares y civiles","Un cordon polymère léger en nylon, à l'origine utilisé dans les lignes de parachute. Le paracord peut être utilisé à de nombreuses autres fins par les militaires et les civils",由尼龙制成的轻质聚合物绳，最初用于降落伞线。军事和平民都可以将帕拉科德用于许多其他目的,もともとパラシュートラインで使用されていたナイロンで作られた軽量ポリマーコード。パラコードは、軍と民間人の両方が他の多くの目的に使用できます,"Um cabo de polímero leve feito de nylon, originalmente usado em linhas de pára -quedas. Paracord pode ser usado para muitos outros propósitos por militares e civis",由尼龙制成的轻质聚合物绳，最初用于降落伞线。军事和平民都可以将帕拉科德用于许多其他目的,
STR_kr_weapons_items_multitool,Multitool,Multitool,Multitool,Mehrfachwerkzeug,Мультитул,Multitool,Multitool,Multi attrezzo,Herramienta multiple,Outil Multi-fonction,多功能工具,マルチツール,Multi-ferramentas,多功能工具,
STR_kr_weapons_items_multitool_dsc,"A multifunctional tool set that is great for working with weapons, mounts, etc","A multifunctional tool set that is great for working with weapons, mounts, etc","Multifunkční sada nástrojů, která je skvělá pro práci se zbraněmi, hory atd","Ein multifunktionales Werkzeugsatz, das sich hervorragend für die Arbeit mit Waffen, Reittieren usw. eignet","Многофукциональный набор инструментов, который отлично подходит для работы с оружием, креплениями и т.д","Wielofunkcyjny zestaw narzędzi, który doskonale nadaje się do pracy z bronią, mocowaniami itp.","Egy multifunkcionális szerszámkészlet, amely kiválóan alkalmas fegyverekkel, tartókkal stb.","Un set di strumenti multifunzionali che è ottimo per lavorare con armi, supporti, ecc.","Un conjunto de herramientas multifuncionales que es excelente para trabajar con armas, monturas, etc.","Un ensemble d'outils multifonctionnels idéal pour travailler avec des armes, des montures, etc.",多功能工具集，非常适合使用武器，坐骑等,武器、マウントなどの作業に最適な多機能ツールセット,"Um conjunto de ferramentas multifuncionais que é ótimo para trabalhar com armas, montagens, etc.",多功能工具集，非常适合使用武器，坐骑等,
STR_kr_weapons_items_universal_rails,Universal kit with mounts,Universal kit with mounts,Universal Kit s úchyty,Universal Kit mit Reittieren,Универсальный набор креплений,Zestaw uniwersalny z wierzchowcami,Univerzális készlet tartókkal,Kit universale con supporti,Kit universal con monturas,Kit universel avec des supports,带坐骑的通用套件,マウント付きユニバーサルキット,Kit universal com montagens,带坐骑的通用套件,
STR_kr_weapons_items_universal_rails_dsc,A set of picattini-type mounts and rails suitable for any type of handguards where their installation is envisaged. A multi-tool is required to mount on the handguard,A set of picattini-type mounts and rails suitable for any type of handguards where their installation is envisaged. A multi-tool is required to mount on the handguard,"Sada držáků a kolejnic typu picattinů vhodných pro jakýkoli typ podvodů, kde se předpokládá jejich instalace. K namontování na ruční stráži je nutný multi-tool","Ein Satz von Picattini-Typen und Schienen, die für jede Art von Handschulen geeignet sind, bei denen ihre Installation vorgesehen ist. Ein Multi-Tool ist erforderlich, um am Handschutz zu montieren","Набор креплений и планок типа Пикаттини, подходящий для любого типа цевий, где их установка предусмотрена. Для установки крепления на цевье необходим мультитул","Zestaw mocowań i szyn typu Picattini odpowiedni dla każdego rodzaju startum, w których przewiduje się ich instalacja. Do montażu na ręce wymagane jest wiele narzędzi","A picattini típusú tartókészletek és sínek, amelyek bármilyen típusú kézvédőkhöz alkalmasak, ahol a telepítést tervezik. Multi-szerszámra van szükség a kézvédőbe történő felszereléshez",Una serie di supporti e binari di tipo picattini adatti a qualsiasi tipo di guardie in cui è prevista la loro installazione. È necessario un multi-tool per montare sul parapetto,Se prevé un conjunto de monturas y rieles de tipo Picattini adecuados para cualquier tipo de guardamanos donde se prevé su instalación. Se requiere una herramienta múltiple para montar en el guardamanos,Un ensemble de supports et de rails de type Picattini adaptés à tout type de protège-main où leur installation est envisagée. Un multi-outil est nécessaire pour monter sur le protège-mains,一套适合设想安装的任何类型的手持式护手。需要一个多工具才能安装在护手上,インストールが想定されているあらゆるタイプのハンドガードに適したピカッティニ型マウントとレールのセット。ハンドガードにマウントするには、マルチツールが必要です,Um conjunto de montagens e trilhos do tipo picattini adequados para qualquer tipo de guarda-mãos onde sua instalação é prevista. Uma ferramenta múltipla é necessária para montar no protetor de mão,一套适合设想安装的任何类型的手持式护手。需要一个多工具才能安装在护手上,
STR_kr_weapons_items_zenit_fixed_lock,Fixed PT-lock,Fixed PT-lock,Opravena PT-Lock,Fixes Pt-Lock,Замок ПТ для фиксированных прикладов,Naprawiono blokadę Pt,Rögzített PT-zár,Risolto fisso Pt-Lock,Lock PT fijo,Pt-Lock fixe,固定的PT锁,PTロックを修正しました,Pt-bloqueio fixo,固定的PT锁,
STR_kr_weapons_items_zenit_fixed_lock_dsc,A multi-tool is required to install the lock on the stock,A multi-tool is required to install the lock on the stock,Pro instalaci zámku na skladě je nutný více nástroje,"Eine Multi-Tool ist erforderlich, um das Schloss auf der Aktie zu installieren",Для установки замка на приклад необходим мультитул,Do zainstalowania blokady na magazynie wymagane jest narzędzie,Többszerszámra van szükség az állományra történő rögzítéshez,È necessario un multi-tool per installare il blocco sullo stock,Se requiere una herramienta múltiple para instalar el bloqueo en el stock,Un multi-outil est nécessaire pour installer le verrou sur le stock,需要多工具以在库存上安装锁,ストックにロックを取り付けるにはマルチツールが必要です,É necessário um meio-ferramenta para instalar o bloqueio no estoque,需要多工具以在库存上安装锁,
STR_kr_weapons_items_zenit_fold_lock,Folding PT-lock,Folding PT-lock,Skládání PT-Lock,Faltungs-Pt-Lock,Замок ПТ для складных прикладов,Składanie PT-Lock,Összecsukható pt-zár,Pieghevole pt-block,Lock PT-Lock plegable,Pliage pt-verrure,折叠PT锁,折りたたみpt-lock,Dobrar o pt-bloqueio,折叠PT锁,
STR_kr_weapons_items_zenit_fold_lock_dsc,A multi-tool is required to install the lock on the stock,A multi-tool is required to install the lock on the stock,Pro instalaci zámku na skladě je nutný více nástroje,"Eine Multi-Tool ist erforderlich, um das Schloss auf der Aktie zu installieren",Для установки замка на приклад необходим мультитул,Do zainstalowania blokady na magazynie wymagane jest narzędzie,Többszerszámra van szükség az állományra történő rögzítéshez,È necessario un multi-tool per installare il blocco sullo stock,Se requiere una herramienta múltiple para instalar el bloqueo en el stock,Un multi-outil est nécessaire pour installer le verrou sur le stock,需要多工具以在库存上安装锁,ストックにロックを取り付けるにはマルチツールが必要です,É necessário um meio-ferramenta para instalar o bloqueio no estoque,需要多工具以在库存上安装锁,